COUNTRY,MAMMALS,BIRDS,REPTILES,AMPHIBIANS,FISH,MOLLUSCS,OTHER_INVERTS,PLANTS,TOTAL2009,TOTAL2008
United Arab Emirates,7,8,2,0,13,0,2,0,32,42
Great Briton,5,2,0,0,41,2,8,14,72,65
United States,37,74,32,56,175,273,312,244,1203,1192
United States Minor Outlying Islands,0,11,1,0,11,0,44,0,67,68
Uruguay,10,23,4,5,35,0,1,1,79,72
Uzbekistan,11,15,1,0,8,0,1,15,51,52
Vanuatu,8,7,2,0,14,1,78,10,120,118
Venezuela,32,26,13,71,35,0,21,69,267,259
Vietnam,54,36,27,16,45,0,92,147,417,408
Virgin Islands (British),1,1,6,2,14,0,10,10,44,42
Virgin Islands (US),2,1,4,2,13,0,0,11,33,31
Wallis and Futuna,0,9,0,0,6,0,57,1,73,73
Western Sahara,11,1,0,0,26,0,1,0,39,32
Yemen,9,13,3,1,21,2,4,159,212,266
Zambia,8,13,0,1,10,3,1,8,44,43
Zimbabwe,8,12,0,6,3,0,4,17,50,49
